giro Hamilton Vettel Bottas
 [1,]   112049 113980     NA
 [2,]   108039 108369 143466
 [3,]   107780 107767 107736
 [4,]   106942 107297 107275
 [5,]   106381 107065 108000
 [6,]   106860 106873 107913
 [7,]   106483 106582 107610
 [8,]   106294 106918 107083
 [9,]   106592 106224 107317
[10,]   106312 106266 108350
[11,]   106947 106973 133418
[12,]   121703 122100     NA
[13,]       NA     NA     NA
[14,]       NA     NA 148292
[15,]       NA     NA 109380
[16,]       NA     NA 107382
[17,]       NA     NA 147236
[18,]       NA     NA     NA
[19,]       NA     NA 150715
[20,]   130982 132130 144457
[21,]       NA     NA     NA
[22,]       NA     NA     NA
[23,]       NA     NA     NA
[24,]   109318 110099 115620
[25,]   106484 107089 112064
[26,]   105577 106032 107257
[27,]   105659 105865 108032
[28,]   104942 105284 107023
[29,]   105732 105567 106809
[30,]   106172 105750 107097
[31,]   110858 105866 106265
[32,]   130283 105312 105884
[33,]   106081 108475 107580
[34,]   106336 131084 107091
[35,]   105294 105345 105923
[36,]   106201 106542 105021
[37,]   105126 104955 106185
[38,]   105580 105466 105874
[39,]   105600 105165 104933
[40,]   104736 104506 104398
[41,]   105024 105829 104612
[42,]   106213 104838 104315
[43,]   104605 104692 104036
[44,]   103840 104029 104140
[45,]   103874 103630 104211
[46,]   103469 103576 104109
[47,]   103733 103441 104278
[48,]   103548 104175 104114
[49,]   103554 103986 104219
[50,]   103600 103833 104257
[51,]   103523 104040 103925
