 giro Hamilton Vettel Bottas
 [1,]       NA     NA     NA
 [2,]    87248     NA     NA
 [3,]    86217  87168  86315
 [4,]    86288  86785  86205
 [5,]    86056  86552  86293
 [6,]    86336  86898  86034
 [7,]    85694  86494  85379
 [8,]    85543  86490  85287
 [9,]    85262  85984  85313
[10,]    85258  85958  85373
[11,]    85290  85881  85501
[12,]    85385  85749  85364
[13,]    85420  85876  85404
[14,]    85223  85840  85286
[15,]    84928  85763  85142
[16,]    85021  85805  85187
[17,]    84830  85637  85087
[18,]    84909  85774  85115
[19,]    85419  85777  85612
[20,]    84770  86038  85140
[21,]    84871  85692  84984
[22,]    84856  85933  85037
[23,]    85305  85952  85358
[24,]    85545  85952  85585
[25,]    85390  85975  85509
[26,]    85719  86399  85363
[27,]    85144  86035  85422
[28,]    85244  85649  85197
[29,]    85572  85794  85376
[30,]    85771  85844  85128
[31,]    85991     NA  85603
[32,]       NA     NA  85436
[33,]       NA  84981     NA
[34,]    84762  85084     NA
[35,]    84612  85062  84234
[36,]    84034  85059  84346
[37,]    83975  85008  84327
[38,]    84369  85076  84662
[39,]    84051  84950  84321
[40,]    83924  87421  84197
[41,]    84779  85107  84275
[42,]    84771  85264  84336
[43,]    84678  84664  84257
[44,]    84213  84705  84366
[45,]    84269  85012  84130
[46,]    84257  84807  84050
[47,]    83965  84332  84372
[48,]    83806  84247  84425
[49,]    83542  84495  84052
[50,]    83488  84354  83821
[51,]    84160  83897  84037
[52,]    84055  84063  84122
[53,]    84462  84726  83722
