 giro Hamilton Vettel Bottas
 [1,]       NA     NA     NA
 [2,]    80615  78261  78471
 [3,]    79434  78028  77996
 [4,]    79069  77537  77793
 [5,]    79267  77044  77654
 [6,]    78683  77257  77617
 [7,]    78167  76974  77053
 [8,]    78076  77162  76839
 [9,]    78491  76421  77024
[10,]    78281  76708  76847
[11,]    78313  76622  77035
[12,]    78384  76622  76975
[13,]    77872  76883  77174
[14,]    77755  76197  77039
[15,]    78061  76562  77055
[16,]    77780  76983  76836
[17,]    77676  77569  77203
[18,]    77087  76943  76570
[19,]    77223  77106  77016
[20,]    77151  76384  76448
[21,]    77238  76358  76468
[22,]    77048  76861  76439
[23,]    77334  76741  76492
[24,]    77294  77398  76512
[25,]    77409  77216  77015
[26,]    77995  77714  77023
[27,]    77177  78372  77178
[28,]    77304  77425  77887
[29,]    77836  76952  77749
[30,]    77903  76636  77265
[31,]    77677  77166  77470
[32,]    77362  77052  77219
[33,]    77495  77188     NA
[34,]    77544  76592     NA
[35,]    78283  76446  77783
[36,]    77487  76264  77164
[37,]    76588  75587  78914
[38,]    76302  75238  78055
[39,]    76317     NA  77527
[40,]    77043  78650  77494
[41,]    76388  76190  77980
[42,]    76765  76352  77280
[43,]    77358  76754  76911
[44,]    76835  76387  76765
[45,]    77469  76566  77007
[46,]       NA  76311  76928
[47,]    80748  76799  77256
[48,]    76614  76069  77504
[49,]    76624  76371  77297
[50,]    76702  76380  77822
[51,]    76441  76898  77721
[52,]    76933  76521  77082
[53,]    76284  76637  77318
[54,]    75825  76025  76983
[55,]    75831  76573  76542
[56,]    75847  76381  76563
[57,]    75850  76103  76920
[58,]    76523  76806  77021
[59,]    77197  77011  77231
[60,]       NA     NA     NA
[61,]       NA     NA     NA
[62,]       NA     NA     NA
[63,]       NA     NA     NA
[64,]       NA     NA     NA
[65,]       NA     NA     NA
[66,]       NA     NA     NA
[67,]       NA     NA     NA
[68,]    82070     NA     NA
[69,]    79771  79298     NA
[70,]    79072  78193  78777
[71,]    79935  77398  77870
[72,]    78387  76854  77618
[73,]    77459  77920  77393
[74,]    76694  76665  77286
[75,]    76921  76275  76929
[76,]    77338  76838  77154
[77,]    78769  77025  76862
[78,]    79771  78456  76826
