giro Hamilton Vettel Bottas
 [1,]       NA     NA     NA
 [2,]    89638  89727  90141
 [3,]    89119  89043  89635
 [4,]    89044  89128  89301
 [5,]    88786  89127  89460
 [6,]    88919  89083  89135
 [7,]    88797  88865  89164
 [8,]    88379  88753  89488
 [9,]    88391  88234  89191
[10,]    88326  88657  88875
[11,]    88464  88393  89092
[12,]    88424  88221  88789
[13,]    88117  88372  88377
[14,]    89037  88690  89214
[15,]    88494  88507  88755
[16,]    88438  88221  89785
[17,]       NA  88364  89051
[18,]       NA  88478  88860
[19,]    87551  88118  88780
[20,]    88473  88224  89042
[21,]    88981  88578  88909
[22,]    89879  88501  88965
[23,]    89457     NA  88871
[24,]       NA     NA  89671
[25,]    90306  87726     NA
[26,]    87952  87598     NA
[27,]    87834  88046  87052
[28,]    87846  87726  87273
[29,]    87813  88009  87735
[30,]    88532  88388  87496
[31,]    88267  88119  88175
[32,]    87711  88226  87453
[33,]    87548  87701  87432
[34,]    88974  87628  87513
[35,]    87435  87483  88532
[36,]    88354  87347  87139
[37,]    87712  87620  87285
[38,]    87558  87490  87437
[39,]    87618  87586  87396
[40,]    87525  87718  87711
[41,]    88720  87386  88337
[42,]    87473  87448  87525
[43,]    88842  87819  88049
[44,]    87033  87954  87597
[45,]    87151  87735  87123
[46,]    87347  87695  87555
[47,]    87285  87735  87491
[48,]    87328  88707  87103
[49,]    88063  87613  87685
[50,]    88989  87422  88717
[51,]    87768  87782  88395
[52,]    87607  87618  87844
[53,]    87087  86638  87045
[54,]    88299  87007  87412
[55,]    87496  87369  88670
[56,]    87527  87437  86593
[57,]    88142  88709  87507
