 giro Hamilton Vettel Bottas
 [1,]    99371  98586  98125
 [2,]    96947  96933  96762
 [3,]    96867  96798  96773
 [4,]    96502  96584  96463
 [5,]    96514  96498  96525
 [6,]    96772  97021  97156
 [7,]    97679  97482  97291
 [8,]    97121  96877  97074
 [9,]    97245  97055  97012
[10,]    97337     NA  97617
[11,]    96564     NA  97348
[12,]    97096  94597  97216
[13,]       NA     NA     NA
[14,]       NA     NA     NA
[15,]       NA     NA     NA
[16,]       NA     NA     NA
[17,]    95802  95265  95949
[18,]    95306  94802  95092
[19,]    94844  94503  95009
[20,]    95275  94751  94942
[21,]    95209  94698  95125
[22,]    95220  94801  94991
[23,]    95704  95157  95813
[24,]    95600  95188  95725
[25,]    95605  94956  95775
[26,]    96313  95398  96625
[27,]    94948  95332  97287
[28,]    94988  95343  96146
[29,]    95191  95349  96041
[30,]    94775  95392  98365
[31,]    95392  95565     NA
[32,]    94820  95545  94714
[33,]    95292  98588  94087
[34,]    95713     NA  94391
[35,]    95143  94004  94736
[36,]    95288  93826  95194
[37,]    95405  94291  94399
[38,]    95286  94293  94875
[39,]    95524  94590  94973
[40,]    95559  94505  94647
[41,]    98084  94631  94526
[42,]       NA  94533  94681
[43,]    92962  94365  94374
[44,]    92887  94362  94839
[45,]    92922  94070  94821
[46,]    92798  94096  94643
[47,]    93592  94266  96627
[48,]    93532  94500  95456
[49,]    93037  94876  94708
[50,]    93348  94177  95122
[51,]    93332  93984  94909
[52,]    93375  94085  95025
[53,]    93859  95159  95987
[54,]    93604  94528  94875
[55,]    94632  94082  95155
[56,]    94763  94395  95096
[57,]    94920  95048  95159
