     Hamilton Vettel Bottas
 [1,]       NA     NA     NA
 [2,]       NA     NA     NA
 [3,]       NA     NA     NA
 [4,]       NA     NA     NA
 [5,]       NA     NA     NA
 [6,]       NA  73666  74274
 [7,]    75845  73649  73814
 [8,]    75366  73859  74316
 [9,]    74562  74049  74086
[10,]    73830  73924  73921
[11,]    74221  73744  73922
[12,]    74136  73782  74185
[13,]    74601  73990  73967
[14,]    75408  74068  74007
[15,]    74441  74102  73941
[16,]    74477  74373  74133
[17,]    74625  74155  74215
[18,]    74104  74035  74091
[19,]    74383  73779  73730
[20,]    74255  73697  73626
[21,]    74327  73927  73848
[22,]    73485  73869  73720
[23,]    74004  73636  73761
[24,]    73686  73796  73828
[25,]    73320  73558  73649
[26,]    73124  73711  73574
[27,]    73482  73744     NA
[28,]    73384     NA     NA
[29,]    73395     NA  73349
[30,]    73271  72996  73224
[31,]    73419  73228  73533
[32,]    73480  73155  73379
[33,]    73208  73363  73557
[34,]    73283  73216  73954
[35,]    73152  73549  73491
[36,]    73511  73145  73393
[37,]    73591  73514  73468
[38,]    73520  73618  73464
[39,]    73502  73358  73146
[40,]    73706  73216  73220
[41,]    74757  73825  74106
[42,]    73748  74415  73620
[43,]       NA  73693  74597
[44,]       NA  73527  73191
[45,]    72423  73386  73418
[46,]    72012  73129  73063
[47,]    72328  73112  73143
[48,]    73774  72985  73205
[49,]    72939  73343  73585
[50,]    72641  73170  73252
[51,]    72456  73372  73376
[52,]    72355  73406  73171
[53,]    72912  73139  73229
[54,]    72712  72983  72960
[55,]    72598  73206  73109
[56,]    72419  73070  73240
[57,]    72020  72903  72788
[58,]    72357  72763  72466
[59,]    72523  73156  72902
[60,]    71932  72976  73035
[61,]    72255  72739  72585
[62,]    71918  72894  72787
[63,]    71845  72539  72982
[64,]    72309  72782  72660
[65,]    72171  72714  72677
[66,]    72119  72849  72552
[67,]    73150  72704  72660
[68,]    72694  72610  72697
[69,]    72789  72603  72551
[70,]    72549  72719  73047
[71,]    73168  72971  73274
