giro    Hamilton Vettel Bottas
 [1,]   101731 100467  99852
 [2,]   100285  99422 100267
 [3,]   100191  99834  97767
 [4,]   100839  98887     NA
 [5,]    99528  98746 102198
 [6,]    99535  97766 101305
 [7,]    99256  99528 100060
 [8,]    99151  98445  99617
 [9,]    98776  97957  99692
[10,]    98913  98615  99621
[11,]    99719  98581 100104
[12,]    99301  99011 100138
[13,]    99281  98116 100324
[14,]    98940  98216 100016
[15,]    99658  98438 100645
[16,]    99293  98615  99618
[17,]    99455  98280  99803
[18,]    99817     NA  99167
[19,]    99564 100279  99654
[20,]    98783  99369  99507
[21,]    99471  99556  99839
[22,]    99348  99873  99778
[23,]    99307 100140  99789
[24,]   100318 100169  99722
[25,]    99719 100141  99632
[26,]   100079 100172  99993
[27,]   100108 100270 100472
[28,]   100461 100406 100022
[29,]   100169 100638 100045
[30,]   100385 100670 100395
[31,]   100824 100855 100242
[32,]   100098 100455 100128
[33,]   100404 100722 100662
[34,]    99233 100418 100996
[35,]   100262 100437 100149
[36,]    99847 100180 100230
[37,]       NA 100744  99767
[38,]   101659  99379     NA
[39,]   101317  99702 101588
[40,]   101273     NA 101537
[41,]   101334 102330 101792
[42,]   101278 101652 101539
[43,]   101295 101435 101321
[44,]   100716 101269 101238
[45,]   101748 101783 101047
[46,]   100886 101927 101071
[47,]   100550 100953 100849
[48,]   101098 101146 100951
[49,]   100520 101180 100793
[50,]   100783 101099 101239
[51,]   100770 102703 101495
[52,]   100387 100533 101350
[53,]   100531 100668 102129
[54,]   100780 100654 101094
[55,]   100945 101056 102260
[56,]   102142 100829 103357
