 giro Hamilton Vettel Bottas
 [1,]       NA     NA     NA
 [2,]       NA     NA  81919
 [3,]    82149  82093  81997
 [4,]    82223  81800  81796
 [5,]    81892  82545  81579
 [6,]    81856  82305  81929
 [7,]    82368  83307  81575
 [8,]    82168  82622  81548
 [9,]    82810  83270  81636
[10,]    82031  83667  81843
[11,]    82271  83335  81576
[12,]    81873  84329  81404
[13,]    81978  82262  81403
[14,]    82215  82463  81026
[15,]    82253  83212  81217
[16,]    82584  82588  81136
[17,]    82841  82910  81045
[18,]    82981  81278  80860
[19,]    83007  81779  81359
[20,]    83615  82685  81087
[21,]    84413  81654  81457
[22,]    83267  82630  81573
[23,]    84123  81845  81676
[24,]    83582  82370  82002
[25,]    83839  82616  81949
[26,]    83934  83186  81424
[27,]    82146  83316  81605
[28,]    83220  83188  81198
[29,]    81010  81954  81862
[30,]    81517  80698  81093
[31,]       NA  82811  81371
[32,]       NA     NA     NA
[33,]    80679     NA     NA
[34,]    81471  80116  80661
[35,]    80006  80246  80527
[36,]    81333  81196  80912
[37,]    80175  79792  81307
[38,]    80696  80384  80719
[39,]    80846  79997  80951
[40,]    81851  79938  81390
[41,]    81756  79873  80900
[42,]    80628  80034  80952
[43,]    81438  80078  81003
[44,]    82298  79990  80999
[45,]    80461  80042  80460
[46,]    80703  80057  80211
[47,]    80354  79899  80515
[48,]    80418  80199  80697
[49,]    80494  80404  80504
[50,]    80650  80689  80833
[51,]    80969  80126  80487
[52,]    80241  80153  80871
[53,]    80719  80530  80749
[54,]    80443  79516  80314
[55,]    80793  80288  80401
[56,]    80442  81424  80464
[57,]    80297  79214  80485
[58,]    80036  80785  79933
[59,]    80671  80278  79872
[60,]    81555  79962  80120
[61,]    81428  80142  80345
[62,]    81864  79812  80329
[63,]    81464  79750  80012
[64,]    81452  79910  79801
[65,]    82464  80176  79883
[66,]    80959  80181  80084
[67,]    83135  80091  80334
[68,]    80634  78785  80137
[69,]    79945  80265  80041
[70,]    80703  79876  79374
[71,]       NA  81641  80309
