giro    Hamilton Vettel Bottas
 [1,]       NA     NA     NA
 [2,]       NA     NA     NA
 [3,]       NA     NA     NA
 [4,]       NA     NA     NA
 [5,]       NA     NA     NA
 [6,]       NA  83137  84484
 [7,]    84649  82661  83772
 [8,]    83962  82512  83624
 [9,]    83877  82457  83399
[10,]    83495  82255  83325
[11,]    83406  82764  83540
[12,]    83461  82626  83469
[13,]    83069  82798  83078
[14,]    83248  83081  83459
[15,]    83203  82844  83006
[16,]    82918  82843  82798
[17,]    82954  82749  82658
[18,]    83004  82642  82592
[19,]    82906  82621  82747
[20,]    82704  82676  82680
[21,]    82934  83086  82630
[22,]    82422  82670  82777
[23,]    82625  82804  82654
[24,]    82593  82789  82792
[25,]    82522  82597  82600
[26,]    82452  82386  82632
[27,]    82477  82550  82338
[28,]    82438  83079  82439
[29,]    82361  83447  82791
[30,]    82525  82592     NA
[31,]    84755  83665     NA
[32,]       NA     NA  81656
[33,]    81395     NA  81264
[34,]    81370  81993  82149
[35,]    82133  82785  82367
[36,]    82508  83090  82566
[37,]    82955  82483  83071
[38,]    81650  82343  81945
[39,]    82220  82275  81876
[40,]    82425  82288  81994
[41,]    82186  82407  82189
[42,]    82073  82126  82388
[43,]    82243  82449  82288
[44,]    82239  82181  82190
[45,]    82056  81996  82040
[46,]    80890  81722  84403
[47,]    81189  81895  81832
[48,]    81333  81865  82000
[49,]    81629  81644  81865
[50,]    81599  81889  81478
[51,]    81864  81826  81609
[52,]    81747  81726  81480
[53,]    81902  81990  81993
[54,]    81794  82235  81376
[55,]    82262  82028  82035
[56,]    82421  82242  81727
[57,]    82104  82421  83270
[58,]    81718  81355  82227
[59,]    81741  81110  82686
[60,]    81040  81060  81793
[61,]    81169  80878  81218
[62,]    81097  81329  81514
[63,]    82205  82050  81370
[64,]    82221  81478  82086
[65,]    81311  82141  82619
[66,]    80818  81454  82428
[67,]    81816  80905  81484
[68,]    80932  80994  81214
[69,]    81460  80807  81614
[70,]       NA  81072  81837
