Hamilton Vettel Bottas
92932 83794 85588 
80615 78261 78471 
79434 78028 77996 
79069 77537 77793 
79267 77044 77654 
78683 77257 77617 
78167 76974 77053 
78076 77162 76839 
78491 76421 77024 
78281 76708 76847 
78313 76622 77035 
78384 76622 76975 
77872 76883 77174 
77755 76197 77039 
78061 76562 77055 
77780 76983 76836 
77676 77569 77203 
77087 76943 76570 
77223 77106 77016 
77151 76384 76448 
77238 76358 76468 
77048 76861 76439 
77334 76741 76492 
77294 77398 76512 
77409 77216 77015 
77995 77714 77023 
77177 78372 77178 
77304 77425 77887 
77836 76952 77749 
77903 76636 77265 
77677 77166 77470 
77362 77052 77219 
77495 77188 94473 
77544 76592 79431 
78283 76446 77783 
77487 76264 77164 
76588 75587 78914 
76302 75238 78055 
76317 92673 77527 
77043 78650 77494 
76388 76190 77980 
76765 76352 77280 
77358 76754 76911 
76835 76387 76765 
77469 76566 77007 
94116 76311 76928 
80748 76799 77256 
76614 76069 77504 
76624 76371 77297 
76702 76380 77822 
76441 76898 77721 
76933 76521 77082 
76284 76637 77318 
75825 76025 76983 
75831 76573 76542 
75847 76381 76563 
75850 76103 76920 
76523 76806 77021 
77197 77011 77231 
96558 82892 95649 
106861 124105 103087 
87033 115428 102134 
110532 114785 113751 
111390 116615 112890 
123827 121636 122367 
110066 114688 112999 
84384 82447 84762 
82070 82102 82251 
79771 79298 79330 
79072 78193 78777 
79935 77398 77870 
78387 76854 77618 
77459 77920 77393 
76694 76665 77286 
76921 76275 76929 
77338 76838 77154 
78769 77025 76862 
79771 78456 76826 
