Hamilton Vettel Bottas
99371 98586 98125 
96947 96933 96762 
96867 96798 96773 
96502 96584 96463 
96514 96498 96525 
96772 97021 97156 
97679 97482 97291 
97121 96877 97074 
97245 97055 97012 
97337 100305 97617 
96564 114814 97348 
97096 94597 97216 
115500 110925 109556 
161622 145317 166092 
145183 144416 144551 
141520 144245 143480 
95802 95265 95949 
95306 94802 95092 
94844 94503 95009 
95275 94751 94942 
95209 94698 95125 
95220 94801 94991 
95704 95157 95813 
95600 95188 95725 
95605 94956 95775 
96313 95398 96625 
94948 95332 97287 
94988 95343 96146 
95191 95349 96041 
94775 95392 98365 
95392 95565 113826 
94820 95545 94714 
95292 98588 94087 
95713 113622 94391 
95143 94004 94736 
95288 93826 95194 
95405 94291 94399 
95286 94293 94875 
95524 94590 94973 
95559 94505 94647 
98084 94631 94526 
120345 94533 94681 
92962 94365 94374 
92887 94362 94839 
92922 94070 94821 
92798 94096 94643 
93592 94266 96627 
93532 94500 95456 
93037 94876 94708 
93348 94177 95122 
93332 93984 94909 
93375 94085 95025 
93859 95159 95987 
93604 94528 94875 
94632 94082 95155 
94763 94395 95096 
94920 95048 95159 
