Hamilton Vettel Bottas
102307 111136 104229 
97867 100263 98722 
97387 99306 98795 
98306 98658 98346 
97486 99496 97870 
97723 98969 97953 
97202 99639 98106 
97055 98901 98346 
97172 98178 100266 
97642 97933 98533 
97481 98296 98346 
96849 97104 98318 
97139 97300 97817 
97192 96732 97720 
96876 96483 97956 
96868 96545 97555 
97273 96818 97734 
96870 96600 97342 
96436 97233 97284 
96336 97144 97362 
96394 96383 97386 
96901 96558 97533 
96751 96867 97553 
97077 96916 97515 
97044 97363 97528 
100405 98071 98104 
112760 101534 97990 
94723 112960 100773 
94769 94500 114491 
95579 94433 96121 
95671 94689 96141 
95856 94584 95717 
95950 94633 95582 
95603 94371 95353 
95711 94342 95455 
95772 94532 95609 
95943 94810 95767 
95980 94311 95360 
95948 94218 95900 
95198 94222 95591 
95681 94080 95540 
95218 94479 95517 
95100 94867 95510 
95505 94561 95284 
95349 94386 95502 
94860 94802 95631 
94574 95555 95532 
94452 95630 95668 
94590 95654 96134 
94957 95421 96191 
95398 95375 96317 
95431 96279 96800 
95209 96365 96038 
95342 97454 96020 
95960 99368 97511 
96932 101345 98047 
