Hamilton Vettel Bottas
112049 113980 200105 
108039 108369 143466 
107780 107767 107736 
106942 107297 107275 
106381 107065 108000 
106860 106873 107913 
106483 106582 107610 
106294 106918 107083 
106592 106224 107317 
106312 106266 108350 
106947 106973 133418 
121703 122100 158980 
179946 177505 162968 
168029 169467 148292 
182329 181280 109380 
161036 160090 107382 
143353 143249 147236 
173687 173930 158674 
166719 165956 150715 
130982 132130 144457 
190531 189669 185285 
187932 189496 199657 
1479873 1477892 1458906 
109318 110099 115620 
106484 107089 112064 
105577 106032 107257 
105659 105865 108032 
104942 105284 107023 
105732 105567 106809 
106172 105750 107097 
110858 105866 106265 
130283 105312 105884 
106081 108475 107580 
106336 131084 107091 
105294 105345 105923 
106201 106542 105021 
105126 104955 106185 
105580 105466 105874 
105600 105165 104933 
104736 104506 104398 
105024 105829 104612 
106213 104838 104315 
104605 104692 104036 
103840 104029 104140 
103874 103630 104211 
103469 103576 104109 
103733 103441 104278 
103548 104175 104114 
103554 103986 104219 
103600 103833 104257 
103523 104040 103925 
