Hamilton Vettel Bottas
110539 116755 112610 
122321 120903 122186 
129790 126099 128593 
78135 80257 79203 
77752 102783 78434 
77171 78788 77934 
76969 77910 77847 
76988 77766 77615 
76976 77521 77278 
76296 77157 77104 
87803 101035 90184 
103956 105937 105040 
105103 102645 104915 
88022 78960 85006 
76966 77358 76909 
76706 77118 76935 
76648 77274 76410 
76912 77627 76578 
76379 77737 76766 
76417 78264 76542 
76630 77748 76467 
76491 77306 76713 
76491 77126 91875 
76269 77189 78727 
76037 76930 76669 
76181 76727 76629 
76672 76808 76747 
76719 76932 76317 
76367 76672 76880 
76706 76613 76983 
76497 76594 77069 
91834 76537 77641 
79046 76765 76158 
76239 76629 76597 
76548 76573 76892 
76457 76413 76953 
76727 76390 77059 
76586 76689 77000 
76230 76750 76916 
76731 76537 77014 
76875 76335 76555 
76949 76670 76700 
76843 76338 76430 
76827 76148 76396 
76482 76003 76505 
76972 76794 76735 
77104 76663 76496 
76461 76348 77210 
76358 92832 76988 
76182 78176 76736 
76363 75431 76655 
76395 75114 76422 
75947 75326 76761 
76669 75295 76247 
75964 75451 76416 
76080 75142 76497 
76530 75252 77158 
76042 75287 76652 
76237 75172 76192 
75871 74964 76435 
75500 75539 76107 
75673 74962 75977 
75377 75179 76023 
74551 76425 76274 
76166 77530 75894 
76117 78496 75954 
75922 75686 76175 
76091 76668 76614 
76944 75294 77942 
78355 74719 78396 
