Hamilton Vettel Bottas
96075 100228 102367 
120670 122305 125454 
149417 146906 145065 
146621 145573 143593 
93079 95141 96441 
93364 94437 94998 
93197 94054 94013 
93612 94463 94275 
93422 94299 93967 
93389 94201 93906 
93124 93848 94153 
92895 94098 94245 
92504 94730 93989 
93433 94655 93964 
93228 94113 94088 
93174 93310 93485 
92877 94070 93745 
92360 93246 94003 
92456 111564 93098 
92286 92225 92966 
92304 92463 92377 
92190 92308 92231 
92437 92634 92166 
93098 92329 92194 
92410 92178 92201 
110994 92138 93519 
91529 92162 92458 
92255 92149 92780 
91858 92731 92552 
92745 92842 92998 
91771 92714 92971 
92644 92369 92286 
92857 92281 111717 
92717 92258 91122 
92865 92020 91059 
92578 91970 91687 
92038 91955 91853 
91421 91872 91583 
91743 92187 92076 
92214 92335 91916 
91779 93079 92073 
92162 93497 92924 
92340 94260 92335 
92637 94161 91077 
92640 94049 91007 
91873 93398 90905 
91096 93862 91322 
90621 94390 90964 
92749 95029 94305 
96470 130652 94407 
97212 121681 94613 
