Hamilton Vettel Bottas
109926 110601 110746 
110328 110016 111171 
110618 110133 114421 
112331 110087 108737 
106617 110004 108206 
106939 110439 108181 
106715 110450 108359 
106678 110613 107801 
106807 113283 108193 
107100 107252 108312 
107474 107148 107721 
106729 107023 107841 
107033 106577 107995 
106603 106815 110342 
107698 107333 190150 
191400 107152 199126 
199349 106654 163813 
173863 107233 146536 
142440 107043 109927 
109131 108157 109359 
109144 190629 109326 
109154 199157 109250 
109092 174748 109507 
109010 140929 109202 
109286 109176 108616 
109201 109170 109066 
109054 109298 109241 
108974 109220 109176 
109290 109229 109045 
109333 108938 109520 
108677 109199 108834 
108920 109417 108830 
110303 109083 108676 
110380 109250 122728 
109414 109135 114847 
122346 109238 110789 
114585 108917 110730 
110149 109157 110961 
109958 122673 111340 
110611 114088 110476 
110045 110022 110369 
110164 110264 110413 
109990 110317 110399 
109961 109911 110998 
