Hamilton Vettel Bottas
102614 94380 98694 
134375 136819 134763 
132436 131513 132338 
129188 130155 129579 
123927 127597 126367 
85612 83137 84484 
84649 82661 83772 
83962 82512 83624 
83877 82457 83399 
83495 82255 83325 
83406 82764 83540 
83461 82626 83469 
83069 82798 83078 
83248 83081 83459 
83203 82844 83006 
82918 82843 82798 
82954 82749 82658 
83004 82642 82592 
82906 82621 82747 
82704 82676 82680 
82934 83086 82630 
82422 82670 82777 
82625 82804 82654 
82593 82789 82792 
82522 82597 82600 
82452 82386 82632 
82477 82550 82338 
82438 83079 82439 
82361 83447 82791 
82525 82592 85008 
84755 83665 101001 
98651 85390 81656 
81395 99996 81264 
81370 81993 82149 
82133 82785 82367 
82508 83090 82566 
82955 82483 83071 
81650 82343 81945 
82220 82275 81876 
82425 82288 81994 
82186 82407 82189 
82073 82126 82388 
82243 82449 82288 
82239 82181 82190 
82056 81996 82040 
80890 81722 84403 
81189 81895 81832 
81333 81865 82000 
81629 81644 81865 
81599 81889 81478 
81864 81826 81609 
81747 81726 81480 
81902 81990 81993 
81794 82235 81376 
82262 82028 82035 
82421 82242 81727 
82104 82421 83270 
81718 81355 82227 
81741 81110 82686 
81040 81060 81793 
81169 80878 81218 
81097 81329 81514 
82205 82050 81370 
82221 81478 82086 
81311 82141 82619 
80818 81454 82428 
81816 80905 81484 
80932 80994 81214 
81460 80807 81614 
90120 81072 81837 
