Hamilton Vettel Bottas
96359 99494 100299 
122807 126457 123974 
152782 148705 149707 
95024 103903 97029 
95338 0 97000 
95327 0 96217 
94917 0 96481 
95083 0 96806 
115498 0 119465 
121990 0 117444 
94967 0 96944 
95037 0 95695 
94972 0 96009 
94945 0 95632 
95271 0 96100 
95381 0 95998 
95328 0 96023 
95783 0 95912 
95612 0 96200 
95591 0 95920 
95563 0 95917 
98151 0 95924 
114304 0 95603 
94645 0 95399 
94326 0 95458 
94460 0 94945 
95191 0 95179 
94865 0 97095 
94649 0 95585 
94617 0 98109 
94692 0 112991 
94645 0 93688 
94549 0 93912 
94510 0 94101 
94535 0 94355 
94378 0 94115 
94313 0 94025 
94212 0 93709 
94085 0 93860 
93911 0 93763 
94848 0 93742 
93835 0 93424 
93780 0 93871 
93866 0 93810 
94368 0 93594 
94398 0 94155 
94331 0 103009 
128488 0 124387 
127435 0 125239 
97937 0 93144 
95129 0 93577 
95671 0 93656 
94495 0 93578 
