Hamilton Vettel Bottas
131180 127101 125192 
154622 156596 157957 
152995 153327 152599 
100453 99564 99000 
99960 99054 99061 
99533 99202 99081 
99878 99265 98847 
99801 99263 98878 
99482 99096 98706 
99130 99027 98916 
99394 99325 98971 
99309 98952 98819 
99204 99059 99008 
99871 98972 98865 
100098 99357 98760 
99449 98629 98850 
98610 98519 98404 
98398 98639 98400 
98837 98892 98350 
98883 98744 98372 
98827 98580 98796 
98534 98398 98416 
99218 98197 98687 
99203 98311 99077 
98972 98447 99248 
99089 99321 100024 
98869 99334 103462 
98913 99192 118224 
99685 98828 98171 
104910 98291 98208 
120777 98347 98160 
99233 98306 98704 
99283 98553 99169 
98899 103112 98426 
98703 118663 97978 
98617 97699 98041 
98662 97565 97856 
98588 98214 99193 
98711 97692 98493 
98707 98067 98473 
99035 98431 98776 
99323 98683 98754 
98594 98217 98197 
98605 98735 98236 
98631 97630 97815 
98554 97373 97794 
98614 97897 97793 
98927 97329 97576 
98975 97312 97367 
98921 97493 97742 
99418 97832 97980 
101979 98728 98871
