Hamilton Vettel Bottas
88755 92830 92046 
87248 88054 87339 
86217 87168 86315 
86288 86785 86205 
86056 86552 86293 
86336 86898 86034 
85694 86494 85379 
85543 86490 85287 
85262 85984 85313 
85258 85958 85373 
85290 85881 85501 
85385 85749 85364 
85420 85876 85404 
85223 85840 85286 
84928 85763 85142 
85021 85805 85187 
84830 85637 85087 
84909 85774 85115 
85419 85777 85612 
84770 86038 85140 
84871 85692 84984 
84856 85933 85037 
85305 85952 85358 
85545 85952 85585 
85390 85975 85509 
85719 86399 85363 
85144 86035 85422 
85244 85649 85197 
85572 85794 85376 
85771 85844 85128 
85991 90416 85603 
89924 105321 85436 
104956 84981 90091 
84762 85084 104220 
84612 85062 84234 
84034 85059 84346 
83975 85008 84327 
84369 85076 84662 
84051 84950 84321 
83924 87421 84197 
84779 85107 84275 
84771 85264 84336 
84678 84664 84257 
84213 84705 84366 
84269 85012 84130 
84257 84807 84050 
83965 84332 84372 
83806 84247 84425 
83542 84495 84052 
83488 84354 83821 
84160 83897 84037 
84055 84063 84122 
84462 84726 83722 
