Hamilton Vettel Bottas
94404 95078 96009 
89638 89727 90141 
89119 89043 89635 
89044 89128 89301 
88786 89127 89460 
88919 89083 89135 
88797 88865 89164 
88379 88753 89488 
88391 88234 89191 
88326 88657 88875 
88464 88393 89092 
88424 88221 88789 
88117 88372 88377 
89037 88690 89214 
88494 88507 88755 
88438 88221 89785 
106345 88364 89051 
93568 88478 88860 
87551 88118 88780 
88473 88224 89042 
88981 88578 88909 
89879 88501 88965 
89457 106995 88871 
91474 93830 89671 
90306 87726 106647 
87952 87598 93438 
87834 88046 87052 
87846 87726 87273 
87813 88009 87735 
88532 88388 87496 
88267 88119 88175 
87711 88226 87453 
87548 87701 87432 
88974 87628 87513 
87435 87483 88532 
88354 87347 87139 
87712 87620 87285 
87558 87490 87437 
87618 87586 87396 
87525 87718 87711 
88720 87386 88337 
87473 87448 87525 
88842 87819 88049 
87033 87954 87597 
87151 87735 87123 
87347 87695 87555 
87285 87735 87491 
87328 88707 87103 
88063 87613 87685 
88989 87422 88717 
87768 87782 88395 
87607 87618 87844 
87087 86638 87045 
88299 87007 87412 
87496 87369 88670 
87527 87437 86593 
88142 88709 87507 
