Hamilton Vettel Bottas
108752 110119 111916 
137879 139426 139113 
144702 159684 145014 
130924 139999 135382 
180642 169036 183210 
167366 166208 166090 
169364 159718 177467 
109009 109050 111821 
104030 102951 109836 
101563 101495 104534 
100807 101204 102035 
99358 100669 100900 
99388 100420 99513 
99353 99979 99117 
98124 99724 98659 
98730 99261 98529 
98895 98941 99188 
98977 99526 99975 
98556 98907 98071 
98514 98232 98114 
98485 98362 98260 
97560 98161 98317 
97644 97505 98473 
97785 97811 98845 
97879 98098 99108 
98098 98108 98252 
98093 97980 97827 
97451 98018 98054 
97484 98579 97909 
97596 97499 97927 
98538 97854 97872 
96711 98225 97952 
98163 97902 99355 
97717 102847 99243 
97307 115529 103874 
101641 96792 116711 
117651 96393 96177 
97123 96872 95912 
96673 97021 96588 
96727 95423 96066 
95798 95614 95849 
96081 95739 96092 
95705 95670 97879 
95378 96051 96610 
95583 95599 96965 
95521 95978 96170 
96036 95728 95935 
96049 95647 95850 
95892 95632 96524 
95819 95711 96804 
95894 95727 96197 
95957 95672 96553 
96643 95707 96247 
95657 95974 96359 
96139 96287 96776 
96747 96144 96950 
