Hamilton Vettel Bottas
101731 100467 99852 
100285 99422 100267 
100191 99834 97767 
100839 98887 118999 
99528 98746 102198 
99535 97766 101305 
99256 99528 100060 
99151 98445 99617 
98776 97957 99692 
98913 98615 99621 
99719 98581 100104 
99301 99011 100138 
99281 98116 100324 
98940 98216 100016 
99658 98438 100645 
99293 98615 99618 
99455 98280 99803 
99817 117088 99167 
99564 100279 99654 
98783 99369 99507 
99471 99556 99839 
99348 99873 99778 
99307 100140 99789 
100318 100169 99722 
99719 100141 99632 
100079 100172 99993 
100108 100270 100472 
100461 100406 100022 
100169 100638 100045 
100385 100670 100395 
100824 100855 100242 
100098 100455 100128 
100404 100722 100662 
99233 100418 100996 
100262 100437 100149 
99847 100180 100230 
118930 100744 99767 
101659 99379 119093 
101317 99702 101588 
101273 119330 101537 
101334 102330 101792 
101278 101652 101539 
101295 101435 101321 
100716 101269 101238 
101748 101783 101047 
100886 101927 101071 
100550 100953 100849 
101098 101146 100951 
100520 101180 100793 
100783 101099 101239 
100770 102703 101495 
100387 100533 101350 
100531 100668 102129 
100780 100654 101094 
100945 101056 102260 
102142 100829 103357 
