Hamilton Vettel Bottas
91485 89278 92847 
86894 86584 87883 
86434 86210 87009 
85892 86083 86464 
86155 86254 87457 
86260 86188 86752 
86338 86270 86889 
86073 86091 86613 
85899 85806 86494 
85893 86083 86418 
85891 85973 86474 
86034 86135 86527 
85969 86124 86548 
85997 89935 86372 
85701 105588 86420 
86181 84901 86244 
86952 85059 86459 
87100 85184 86537 
86242 85254 86892 
86446 85257 87236 
90238 86414 88315 
104438 86526 87825 
85444 87384 87415 
86283 88383 88429 
86351 85328 89776 
85501 85285 92170 
85631 85155 103451 
85286 85117 84696 
86338 85348 85042 
85508 85519 85717 
85523 85273 85661 
86554 85193 86294 
85568 85490 86263 
93458 94319 107100 
120678 119884 120107 
121209 120702 111372 
101405 91543 85822 
85820 103275 85851 
85107 85081 0 
85615 85702 0 
84904 84746 0 
84803 84990 0 
83663 83674 0 
83719 85937 0 
84641 84588 0 
85115 84640 0 
84281 84741 0 
84347 84630 0 
84599 84588 0 
84058 84547 0 
84404 84525 0 
83948 84146 0 
84352 84382 0 
85054 84737 0 
84038 85210 0 
84004 84311 0 
83875 84369 0 
84612 84475 0 
84887 84187 0 
84698 85676 0 
84168 83918 0 
84172 84008 0 
84745 84035 0 
83593 84727 0 
84838 84106 0 
85188 84916 0 
