Hamilton Vettel Bottas
77354 72975 71506 
71599 70149 70250 
71197 70098 69940 
71146 69564 69539 
70596 70325 69379 
70020 69468 69138 
70401 69299 69024 
69930 69367 69019 
69909 69613 69093 
69449 69600 69000 
69629 69212 69181 
69235 69431 69176 
69275 69149 69304 
69356 69275 69138 
69249 69097 69207 
69346 69513 69098 
69058 69222 69159 
69499 69570 69039 
69359 69476 69782 
69312 69267 69138 
69215 69590 68989 
69900 69487 68959 
69662 69510 69075 
69486 69365 68777 
69341 69144 69248 
69452 69177 69216 
69015 69343 69155 
69448 69123 69301 
69546 69404 69363 
69279 69659 69211 
72542 69333 69406 
84359 69256 69359 
67867 69242 69189 
68660 72849 69237 
69074 85923 69133 
68654 68260 68914 
68823 68633 69667 
68914 68435 69046 
68530 68474 68909 
68586 68626 69103 
68289 68490 72841 
68354 68846 86752 
68379 68434 68596 
69369 69698 67938 
68807 68469 68562 
68863 68652 68514 
68600 68403 68550 
68535 68030 68271 
68309 67911 68093 
68363 67713 67850 
68236 67965 67847 
68265 67802 68139 
68155 68341 68164 
67801 67896 68371 
67840 68151 68288 
67840 68089 68280 
67780 68538 67982 
67608 68113 67893 
67571 67831 68249 
67675 67827 68163 
67511 67706 68155 
67715 67988 68022 
68096 68076 68245 
67880 67794 68077 
67424 68026 68133 
67647 68029 67970 
67543 67574 68315 
67503 68461 68455 
67411 67496 67955 
68531 67971 68095 
68781 68358 68391 
