Hamilton Vettel Bottas
179371 0 185029 
200610 0 201035 
190135 0 190045 
182349 0 179742 
125121 0 132095 
124687 0 128676 
124425 0 127883 
125864 0 128398 
123954 0 128101 
125448 0 127800 
132836 0 142009 
184735 0 164108 
187695 0 174099 
175558 0 175818 
122612 0 124912 
121989 0 124086 
121715 0 123258 
121352 0 122955 
121100 0 122141 
120985 0 122685 
120797 0 123581 
122033 0 122630 
120999 0 121638 
120372 0 122032 
119952 0 122099 
120591 0 121969 
119350 0 122106 
118469 0 128888 
126530 0 144421 
142087 0 114246 
112323 0 112118 
111128 0 112041 
109453 0 110067 
109474 0 109018 
108761 0 108238 
107849 0 108101 
107249 0 107998 
126649 0 139045 
178284 0 165268 
190859 0 168098 
189674 0 188181 
109049 0 111565 
107133 0 108771 
109543 0 107337 
106389 0 106816 
106449 0 106552 
105656 0 105965 
105856 0 106359 
106121 0 107256 
105426 0 107122 
106153 0 105718 
105872 0 105942 
105681 0 105665 
105915 0 105405 
105008 0 105716 
105728 0 106500 
105467 0 106271 
106674 0 106726 
